No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,12,12,,X,,,2787031901,Parthenia St./White Oak Ave.,25259,Yes,RA-1,Vacant lot,Gas Tax,300000,,"Per R&P, level vacant lot in Northridge.  LAHD released 8/06."
2,12,12,,,X,,2694001900,"10241 Balboa Blvd., Granada Hills",12197,Yes,,Old Firstation #87,Fire,,1100000 ,Councilman requested that property be held for a bureau of Sanitation SAFE Center Project.
3,12,12,,,,,2872004900,11954 Calle Vista Ct,,,,Vacant Lot,,,,Settlement; prior approval for sale required for CA & government & Council
4,12,12,,,,,2004018900,22345 Malden Street,,,,Vacant Lot,,,,Settlement; prior approval for sale required for CA & government & Council
5,12,12,,,,,2004018901,22330 Napa Street,,,,Vacant Lot,,,,Settlement; prior approval for sale required for CA & government & Council
6,12,12,,,,,2004018902,22322 Napa Street,,,,Vacant Lot,,,,Settlement; prior approval for sale required for CA & government & Council
7,12,3,,,,S,2028011901,Sherman Way/Platt Ave.,36398,Yes,A1-1,Strip between st. + SD Channel,,40000,10000,
,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"73,854.00","$340,000.00",,,,,,,,,,,,,,
TOTAL LAHD RESERVED,0.00,,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"25,259.00","$300,000.00",,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,"12,197.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,,,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,,,,,,,,,,,,,,,,
